['Название'];['Ссылка'];['Цена в рублях']
"Серый oversized-ромпер с надписью ""Pittsburg"" ASOS DESIGN";https://www.asos.com/ru/asos-design/seryj-oversized-romper-s-nadpisyu-pittsburg-asos-design/prd/24137651?clr=seryj&colourwayid=60541935&cid=7618;2 690,00 руб.
Оранжевый ромпер на тонких бретелях со свободным воротом ASOS DESIGN;https://www.asos.com/ru/asos-design/oranzhevyj-romper-na-tonkih-bretelyah-so-svobodnym-vorotom-asos-design/prd/23279141?clr=oranzhevyj-tsvet&colourwayid=60466927&cid=7618;2 290,00 руб.
Пляжный плиссированный ромпер терракотового цвета с высоким воротом ASOS DESIGN;https://www.asos.com/ru/asos-design/plyazhnyj-plissirovannyj-romper-terrakotovogo-tsveta-s-vysokim-vorotom-asos-design/prd/24075341?clr=terrakotovyj&colourwayid=60537051&cid=7618;2 290,00 руб.
Светлый джинсовый короткий комбинезон из органического хлопка со рваной отделкой ASOS DESIGN;https://www.asos.com/ru/asos-design/svetlyj-dzhinsovyj-korotkij-kombinezon-iz-organicheskogo-hlopka-so-rvanoj-otdelkoj-asos-design/prd/23291927?clr=vybelennyj&colourwayid=60468051&cid=7618;3 890,00 руб.
Черный чайный комбинезон с пышными рукавами ASOS DESIGN;https://www.asos.com/ru/asos-design/chernyj-chajnyj-kombinezon-s-pyshnymi-rukavami-asos-design/prd/21294959?clr=chernyj-tsvet&colourwayid=60154431&cid=7618;3 090,00 руб.
Черный ромпер из фактурной ткани с завязками на плечах ASOS DESIGN;https://www.asos.com/ru/collusion/chernyj-romper-iz-fakturnoj-tkani-s-zavyazkami-na-plechah-asos-design/prd/23231495?clr=chernyj-tsvet&colourwayid=60461289&cid=7618;1 590,00 руб.
Фактурный ромпер с завязкой на шее оранжевого цвета ASOS DESIGN;https://www.asos.com/ru/asos-design/fakturnyj-romper-s-zavyazkoj-na-shee-oranzhevogo-tsveta-asos-design/prd/23691384?clr=pop-orange&colourwayid=60504421&cid=7618;1 790,00 руб.
Черный ромпер с пышными рукавами и мятым эффектом ASOS DESIGN;https://www.asos.com/ru/asos-design/chernyj-romper-s-pyshnymi-rukavami-i-myatym-effektom-asos-design/prd/21300751?clr=chernyj-tsvet&colourwayid=60154847&cid=7618;2 690,00 руб.
Светло-бежевый ромпер из однотонного поплина с вырезом на воротнике ASOS DESIGN;https://www.asos.com/ru/asos-design/svetlo-bezhevyj-romper-iz-odnotonnogo-poplina-s-vyrezom-na-vorotnike-asos-design/prd/24072194?clr=sero-bezhevyj&colourwayid=60536900&cid=7618;2 390,00 руб.
Короткий облегающий комбинезон для йоги ASOS 4505 Tall;https://www.asos.com/ru/asos-4505/korotkij-oblegayuschij-kombinezon-dlya-jogi-asos-4505-tall/prd/24168318?clr=haki&colourwayid=60544420&cid=7618;2 490,00 руб.
Фактурный ромпер с завязкой на шее выбеленного сиреневого цвета ASOS DESIGN;https://www.asos.com/ru/asos-design/fakturnyj-romper-s-zavyazkoj-na-shee-vybelennogo-sirenevogo-tsveta-asos-design/prd/23691388?clr=bledno-sirenevyj&colourwayid=60504417&cid=7618;1 790,00 руб.
Черный комбинезон в рубчик с пуговицами и поясом In The Style x Dani Dyer;https://www.asos.com/ru/in-the-style-maternity/chernyj-kombinezon-v-rubchik-s-pugovitsami-i-poyasom-in-the-style-x-dani-dyer/prd/23069642?clr=chernyj-tsvet&colourwayid=60448280&cid=7618;2 890,00 руб.
Комбинезон на бретельках рыжего цвета с запахом спереди и отделкой в форме кюлотов ASOS DESIGN;https://www.asos.com/ru/asos-design/kombinezon-na-bretelkah-ryzhego-tsveta-s-zapahom-speredi-i-otdelkoj-v-forme-kyulotov-asos-design/prd/22690414?clr=ryzhij&colourwayid=60417549&cid=7618;1 990,00 руб.
Шалфейно-зеленый комбинезон на крупных пуговицах ASOS DESIGN Curve;https://www.asos.com/ru/asos-curve/shalfejno-zelenyj-kombinezon-na-krupnyh-pugovitsah-asos-design-curve/prd/22648957?clr=shalfejno-zelenyj&colourwayid=60414558&cid=7618;2 690,00 руб.
Ромпер с завязкой спереди, сборками и принтом зеленого цвета Abercrombie & Fitch;https://www.asos.com/ru/abercrombie-fitch/romper-s-zavyazkoj-speredi-sborkami-i-printom-zelenogo-tsveta-abercrombie-fitch/prd/23694751?clr=print-zelenyh-listev&colourwayid=60504881&cid=7618;4 090,00 руб.
Синий ромпер с точечным принтом и оборками NA-KD;https://www.asos.com/ru/na-kd/sinij-romper-s-tochechnym-printom-i-oborkami-na-kd/prd/23692323?clr=goluboj&colourwayid=60504570&cid=7618;3 390,00 руб.
Плиссированный ромпер с перекрученной отделкой спереди и мелким летним принтом ASOS DESIGN;https://www.asos.com/ru/asos-design/plissirovannyj-romper-s-perekruchennoj-otdelkoj-speredi-i-melkim-letnim-printom-asos-design/prd/22885907?clr=melkij-letnij-print&colourwayid=60433850&cid=7618;2 890,00 руб.
Оранжевый комбинезон с присборенной отделкой, открытыми плечами, широкими штанинами и цветочным принтом ASOS DESIGN;https://www.asos.com/ru/asos-design/oranzhevyj-kombinezon-s-prisborennoj-otdelkoj-otkrytymi-plechami-shirokimi-shtaninami-i-tsvetochnym-printom-asos-design/prd/24071543?clr=oranzhevyj-tsvetochnyj&colourwayid=60536797&cid=7618;3 090,00 руб.
